	Animal		Weight	
A(n)	Low's squirrel	weighs, on average,	less than 1	kilograms
A(n)	Collared lemming	weighs, on average,	less than 1	kilograms
A(n)	Thicket rat	weighs, on average,	less than 1	kilograms
A(n)	Heermann's kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	Gray mouse lemur	weighs, on average,	less than 1	kilograms
A(n)	Southern flying squirrel	weighs, on average,	less than 1	kilograms
A(n)	Great fruit-eating bat	weighs, on average,	less than 1	kilograms
A(n)	Australian native mouse	weighs, on average,	less than 1	kilograms
A(n)	Lesser short-nosed fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Bushy-tailed jird	weighs, on average,	less than 1	kilograms
A(n)	Heath mouse	weighs, on average,	less than 1	kilograms
A(n)	Cliff chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Hairy-tailed mole	weighs, on average,	less than 1	kilograms
A(n)	Cretan spiny mouse	weighs, on average,	less than 1	kilograms
A(n)	Agile kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed mouse	weighs, on average,	less than 1	kilograms
A(n)	Woodland mouse	weighs, on average,	less than 1	kilograms
A(n)	Lesser tree shrew	weighs, on average,	less than 1	kilograms
A(n)	Five-toed jerboa	weighs, on average,	less than 1	kilograms
A(n)	African water rat	weighs, on average,	less than 1	kilograms
A(n)	Pyrenean desman	weighs, on average,	less than 1	kilograms
A(n)	Rufous elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Tundra vole	weighs, on average,	less than 1	kilograms
A(n)	Ord's kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed tree mouse	weighs, on average,	less than 1	kilograms
A(n)	Brown mouse lemur	weighs, on average,	less than 1	kilograms
A(n)	Star-nosed mole	weighs, on average,	less than 1	kilograms
A(n)	Julia Creek dunnart	weighs, on average,	less than 1	kilograms
A(n)	Richardson's collared lemming	weighs, on average,	less than 1	kilograms
A(n)	Cape short-eared gerbil	weighs, on average,	less than 1	kilograms
A(n)	Lesser Egyptian jerboa	weighs, on average,	less than 1	kilograms
A(n)	South African broad-headed mouse	weighs, on average,	less than 1	kilograms
A(n)	Golden spiny mouse	weighs, on average,	less than 1	kilograms
A(n)	Cinnamon antechinus	weighs, on average,	less than 1	kilograms
A(n)	Mid-day jird	weighs, on average,	less than 1	kilograms
A(n)	Marsupial mole	weighs, on average,	less than 1	kilograms
A(n)	Mongolian jird	weighs, on average,	less than 1	kilograms
A(n)	Long-eared elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Vole	weighs, on average,	less than 1	kilograms
A(n)	Mitchell's hopping mouse	weighs, on average,	less than 1	kilograms
A(n)	Slender gerbil	weighs, on average,	less than 1	kilograms
A(n)	Feather-tailed possum	weighs, on average,	less than 1	kilograms
A(n)	Four-striped grass mouse	weighs, on average,	less than 1	kilograms
A(n)	Darwin's leaf-eared mouse	weighs, on average,	less than 1	kilograms
A(n)	Water vole	weighs, on average,	less than 1	kilograms
A(n)	Mexican mouse opossum	weighs, on average,	less than 1	kilograms
A(n)	Pale gerbil	weighs, on average,	less than 1	kilograms
A(n)	Flat-headed vole	weighs, on average,	less than 1	kilograms
A(n)	Talazaci's long-tailed tenrec	weighs, on average,	less than 1	kilograms
A(n)	Common rock rat	weighs, on average,	less than 1	kilograms
A(n)	Vesper rat	weighs, on average,	less than 1	kilograms
A(n)	Cape elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Meadow vole	weighs, on average,	less than 1	kilograms
A(n)	North African elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Rock mouse	weighs, on average,	less than 1	kilograms
A(n)	Yellow-pine chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Common weasel	weighs, on average,	less than 1	kilograms
A(n)	Red-nosed mouse	weighs, on average,	less than 1	kilograms
A(n)	Pouched mouse	weighs, on average,	less than 1	kilograms
A(n)	House shrew	weighs, on average,	less than 1	kilograms
A(n)	Field vole	weighs, on average,	less than 1	kilograms
A(n)	Rock dormouse	weighs, on average,	less than 1	kilograms
A(n)	Yellow-footed marsupial mouse	weighs, on average,	less than 1	kilograms
A(n)	Mountain pygmy possum	weighs, on average,	less than 1	kilograms
A(n)	Spiny mouse	weighs, on average,	less than 1	kilograms
A(n)	Greater red musk shrew	weighs, on average,	less than 1	kilograms
A(n)	Least chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Pink fairy armadillo	weighs, on average,	less than 1	kilograms
A(n)	Short-nosed elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Pen-tailed tree shrew	weighs, on average,	less than 1	kilograms
A(n)	Pale spear-nosed bat	weighs, on average,	less than 1	kilograms
A(n)	Red-tailed phascogale	weighs, on average,	less than 1	kilograms
A(n)	Typical striped grass mouse	weighs, on average,	less than 1	kilograms
A(n)	Merriam's kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	California mouse	weighs, on average,	less than 1	kilograms
A(n)	Swamp antechinus	weighs, on average,	less than 1	kilograms
A(n)	Jamaican fruit-eating bat	weighs, on average,	less than 1	kilograms
A(n)	Panamanian spiny pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Dusky antechinus	weighs, on average,	less than 1	kilograms
A(n)	Prairie vole	weighs, on average,	less than 1	kilograms
A(n)	Guatemalan deer mouse	weighs, on average,	less than 1	kilograms
A(n)	Brandt's vole	weighs, on average,	less than 1	kilograms
A(n)	Dormouse possum	weighs, on average,	less than 1	kilograms
A(n)	Short-eared elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Fat-tailed gerbil	weighs, on average,	less than 1	kilograms
A(n)	Northern hopping mouse	weighs, on average,	less than 1	kilograms
A(n)	Greater false vampire bat	weighs, on average,	less than 1	kilograms
A(n)	Dobson's long-tailed tenrec	weighs, on average,	less than 1	kilograms
A(n)	Guinea multimammate mouse	weighs, on average,	less than 1	kilograms
A(n)	Woolley's pseudantechinus	weighs, on average,	less than 1	kilograms
A(n)	Silver mountain vole	weighs, on average,	less than 1	kilograms
A(n)	Greater Egyptian gerbil	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed vole	weighs, on average,	less than 1	kilograms
A(n)	Fresno kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	Australian hopping mouse	weighs, on average,	less than 1	kilograms
A(n)	Cloudy short-tailed opossum	weighs, on average,	less than 1	kilograms
A(n)	Sundevall's jird	weighs, on average,	less than 1	kilograms
A(n)	European free-tailed bat	weighs, on average,	less than 1	kilograms
A(n)	Naked mole-rat	weighs, on average,	less than 1	kilograms
A(n)	Red-cheeked dunnart	weighs, on average,	less than 1	kilograms
A(n)	Fawn antechinus	weighs, on average,	less than 1	kilograms
A(n)	Fat-tailed marsupial mouse	weighs, on average,	less than 1	kilograms
A(n)	Korean field mouse	weighs, on average,	less than 1	kilograms
A(n)	Vampire bat	weighs, on average,	less than 1	kilograms
A(n)	Western heather vole	weighs, on average,	less than 1	kilograms
A(n)	Northern grasshopper mouse	weighs, on average,	less than 1	kilograms
A(n)	Florida mouse	weighs, on average,	less than 1	kilograms
A(n)	Little red kaluta	weighs, on average,	less than 1	kilograms
A(n)	Grey red-backed vole	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed pygmy possum	weighs, on average,	less than 1	kilograms
A(n)	Lesser Egyptian gerbil	weighs, on average,	less than 1	kilograms
A(n)	Tullberg's rock rat	weighs, on average,	less than 1	kilograms
A(n)	Yellow-necked mouse	weighs, on average,	less than 1	kilograms
A(n)	Pencil-tailed tree mouse	weighs, on average,	less than 1	kilograms
A(n)	Mouse-eared bat	weighs, on average,	less than 1	kilograms
A(n)	Sandstone marsupial mouse	weighs, on average,	less than 1	kilograms
A(n)	Noctule	weighs, on average,	less than 1	kilograms
A(n)	Brown antechinus	weighs, on average,	less than 1	kilograms
A(n)	Common vole	weighs, on average,	less than 1	kilograms
A(n)	Hazel dormouse	weighs, on average,	less than 1	kilograms
A(n)	Eastern heather vole	weighs, on average,	less than 1	kilograms
A(n)	Southern bog lemming	weighs, on average,	less than 1	kilograms
A(n)	Japanese dormouse	weighs, on average,	less than 1	kilograms
A(n)	Forest dormouse	weighs, on average,	less than 1	kilograms
A(n)	Murine mouse opossum	weighs, on average,	less than 1	kilograms
A(n)	Woodland vole	weighs, on average,	less than 1	kilograms
A(n)	Barbary striped grass mouse	weighs, on average,	less than 1	kilograms
A(n)	Fat mouse	weighs, on average,	less than 1	kilograms
A(n)	Pinyon mouse	weighs, on average,	less than 1	kilograms
A(n)	Wood lemming	weighs, on average,	less than 1	kilograms
A(n)	Fish-eating bat	weighs, on average,	less than 1	kilograms
A(n)	Woodland jumping mouse	weighs, on average,	less than 1	kilograms
A(n)	Cactus mouse	weighs, on average,	less than 1	kilograms
A(n)	Monito del monte	weighs, on average,	less than 1	kilograms
A(n)	Woodland dormouse	weighs, on average,	less than 1	kilograms
A(n)	New Zealand lesser short-tailed bat	weighs, on average,	less than 1	kilograms
A(n)	Hoary bat	weighs, on average,	less than 1	kilograms
A(n)	Kultarr	weighs, on average,	less than 1	kilograms
A(n)	Dzhungarian hamster	weighs, on average,	less than 1	kilograms
A(n)	Greater horseshoe bat	weighs, on average,	less than 1	kilograms
A(n)	Mediterranean pine vole	weighs, on average,	less than 1	kilograms
A(n)	White-footed mouse	weighs, on average,	less than 1	kilograms
A(n)	Lesser mouse-eared bat	weighs, on average,	less than 1	kilograms
A(n)	Big brown bat	weighs, on average,	less than 1	kilograms
A(n)	Old World wood and field mouse	weighs, on average,	less than 1	kilograms
A(n)	Golden mouse	weighs, on average,	less than 1	kilograms
A(n)	Southern grasshopper mouse	weighs, on average,	less than 1	kilograms
A(n)	White-lined broad-nosed bat	weighs, on average,	less than 1	kilograms
A(n)	Short-tailed shrew	weighs, on average,	less than 1	kilograms
A(n)	Striped field mouse	weighs, on average,	less than 1	kilograms
A(n)	Paraguayan slender mouse opossum	weighs, on average,	less than 1	kilograms
A(n)	Red-backed mouse	weighs, on average,	less than 1	kilograms
A(n)	Western jumping mouse	weighs, on average,	less than 1	kilograms
A(n)	Pallid bat	weighs, on average,	less than 1	kilograms
A(n)	House mouse	weighs, on average,	less than 1	kilograms
A(n)	Deer mouse	weighs, on average,	less than 1	kilograms
A(n)	Highland gerbil mouse	weighs, on average,	less than 1	kilograms
A(n)	Rio Napo mouse opossum	weighs, on average,	less than 1	kilograms
A(n)	Great Basin pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Mouse-like hamster	weighs, on average,	less than 1	kilograms
A(n)	European pine vole	weighs, on average,	less than 1	kilograms
A(n)	Little yellow-shouldered bat	weighs, on average,	less than 1	kilograms
A(n)	Afghan mouse-like hamster	weighs, on average,	less than 1	kilograms
A(n)	African spiny mouse	weighs, on average,	less than 1	kilograms
A(n)	Steppe lemming	weighs, on average,	less than 1	kilograms
A(n)	Stripe-faced dunnart	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Particolored bat	weighs, on average,	less than 1	kilograms
A(n)	Baluchistan gerbil	weighs, on average,	less than 1	kilograms
A(n)	San Diego pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Meadow jumping mouse	weighs, on average,	less than 1	kilograms
A(n)	Fawn-colored mouse	weighs, on average,	less than 1	kilograms
A(n)	Ningbing pseudantechinus	weighs, on average,	less than 1	kilograms
A(n)	Serotine	weighs, on average,	less than 1	kilograms
A(n)	Philippine pygmy fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Gray-bellied dunnart	weighs, on average,	less than 1	kilograms
A(n)	Forest shrew	weighs, on average,	less than 1	kilograms
A(n)	Canyon mouse	weighs, on average,	less than 1	kilograms
A(n)	Lesser noctule	weighs, on average,	less than 1	kilograms
A(n)	Seba's short-tailed bat	weighs, on average,	less than 1	kilograms
A(n)	Fat-tailed dunnart	weighs, on average,	less than 1	kilograms
A(n)	Pond bat	weighs, on average,	less than 1	kilograms
A(n)	Eurasian water shrew	weighs, on average,	less than 1	kilograms
A(n)	Geoffroy's tailless bat	weighs, on average,	less than 1	kilograms
A(n)	Elliot's short-tailed shrew	weighs, on average,	less than 1	kilograms
A(n)	Southern water shrew	weighs, on average,	less than 1	kilograms
A(n)	Oldfield mouse	weighs, on average,	less than 1	kilograms
A(n)	Nelson's pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Townsend's big-eared bat	weighs, on average,	less than 1	kilograms
A(n)	Northern bat	weighs, on average,	less than 1	kilograms
A(n)	Brant's climbing mouse	weighs, on average,	less than 1	kilograms
A(n)	Pygmy gliding possum	weighs, on average,	less than 1	kilograms
A(n)	Dark kangaroo mouse	weighs, on average,	less than 1	kilograms
A(n)	Brazilian free-tailed bat	weighs, on average,	less than 1	kilograms
A(n)	Kimberly mouse	weighs, on average,	less than 1	kilograms
A(n)	White-toothed shrew	weighs, on average,	less than 1	kilograms
A(n)	Little long-tailed dunnart	weighs, on average,	less than 1	kilograms
A(n)	Water shrew	weighs, on average,	less than 1	kilograms
A(n)	Western broad-nosed bat	weighs, on average,	less than 1	kilograms
A(n)	Gray big-eared bat	weighs, on average,	less than 1	kilograms
A(n)	Western pebble-mound mouse	weighs, on average,	less than 1	kilograms
A(n)	California leaf-nosed bat	weighs, on average,	less than 1	kilograms
A(n)	Arizona pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Bicolored white-toothed shrew	weighs, on average,	less than 1	kilograms
A(n)	Western harvest mouse	weighs, on average,	less than 1	kilograms
A(n)	Rafinesque's big-eared bat	weighs, on average,	less than 1	kilograms
A(n)	Bechstein's bat	weighs, on average,	less than 1	kilograms
A(n)	Geoffroy's bat	weighs, on average,	less than 1	kilograms
A(n)	Pilbara ningaui	weighs, on average,	less than 1	kilograms
A(n)	Alston's brown mouse	weighs, on average,	less than 1	kilograms
A(n)	Ryukyu mouse	weighs, on average,	less than 1	kilograms
A(n)	Ooldea dunnart	weighs, on average,	less than 1	kilograms
A(n)	Nathusius's pipistrelle	weighs, on average,	less than 1	kilograms
A(n)	Cave myotis	weighs, on average,	less than 1	kilograms
A(n)	Pallas's long-tongued bat	weighs, on average,	less than 1	kilograms
A(n)	Little brown bat	weighs, on average,	less than 1	kilograms
A(n)	Crowned shrew	weighs, on average,	less than 1	kilograms
A(n)	Pygmy planigale	weighs, on average,	less than 1	kilograms
A(n)	Lesser hairy-footed dunnart	weighs, on average,	less than 1	kilograms
A(n)	Silver-haired bat	weighs, on average,	less than 1	kilograms
A(n)	Western barbastelle	weighs, on average,	less than 1	kilograms
A(n)	Evening bat	weighs, on average,	less than 1	kilograms
A(n)	Smaller horseshoe bat	weighs, on average,	less than 1	kilograms
A(n)	Honey possum	weighs, on average,	less than 1	kilograms
A(n)	Plains pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Wongai ningaui	weighs, on average,	less than 1	kilograms
A(n)	Gray myotis	weighs, on average,	less than 1	kilograms
A(n)	Eurasian shrew	weighs, on average,	less than 1	kilograms
A(n)	Southern free-tailed bat	weighs, on average,	less than 1	kilograms
A(n)	Northern birch mouse	weighs, on average,	less than 1	kilograms
A(n)	Arctic shrew	weighs, on average,	less than 1	kilograms
A(n)	Merriam's pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Northern pygmy mouse	weighs, on average,	less than 1	kilograms
A(n)	Brown big-eared bat	weighs, on average,	less than 1	kilograms
A(n)	Silky pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Natterer's bat	weighs, on average,	less than 1	kilograms
A(n)	Alpine shrew	weighs, on average,	less than 1	kilograms
A(n)	Eastern pipistrelle	weighs, on average,	less than 1	kilograms
A(n)	Smoky shrew	weighs, on average,	less than 1	kilograms
A(n)	Lesser shrew	weighs, on average,	less than 1	kilograms
A(n)	Trowbridge's shrew	weighs, on average,	less than 1	kilograms
A(n)	Little pocket mouse	weighs, on average,	less than 1	kilograms
A(n)	Indiana bat	weighs, on average,	less than 1	kilograms
A(n)	Greater sac-winged bat	weighs, on average,	less than 1	kilograms
A(n)	Vagrant shrew	weighs, on average,	less than 1	kilograms
A(n)	Western long-eared myotis	weighs, on average,	less than 1	kilograms
A(n)	Gray climbing mouse	weighs, on average,	less than 1	kilograms
A(n)	Large-eared tenrec	weighs, on average,	less than 1	kilograms
A(n)	Keen's myotis	weighs, on average,	less than 1	kilograms
A(n)	Mouse	weighs, on average,	less than 1	kilograms
A(n)	Eurasian pygmy shrew	weighs, on average,	less than 1	kilograms
A(n)	Long-legged myotis	weighs, on average,	less than 1	kilograms
A(n)	Paucident planigale	weighs, on average,	less than 1	kilograms
A(n)	Brandt's bat	weighs, on average,	less than 1	kilograms
A(n)	Fulvus roundleaf bat	weighs, on average,	less than 1	kilograms
A(n)	Yuma myotis	weighs, on average,	less than 1	kilograms
A(n)	Eastern small-footed myotis	weighs, on average,	less than 1	kilograms
A(n)	Ornate shrew	weighs, on average,	less than 1	kilograms
A(n)	Old World harvest mouse	weighs, on average,	less than 1	kilograms
A(n)	Kuhl's pipistrelle	weighs, on average,	less than 1	kilograms
A(n)	Montane shrew	weighs, on average,	less than 1	kilograms
A(n)	Fringed myotis	weighs, on average,	less than 1	kilograms
A(n)	Laxmann's shrew	weighs, on average,	less than 1	kilograms
A(n)	Whiskered bat	weighs, on average,	less than 1	kilograms
A(n)	Common pipistrelle	weighs, on average,	less than 1	kilograms
A(n)	Least shrew	weighs, on average,	less than 1	kilograms
A(n)	Lesser horseshoe bat	weighs, on average,	less than 1	kilograms
A(n)	Narrow-nosed planigale	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed planigale	weighs, on average,	less than 1	kilograms
A(n)	Cinereus shrew	weighs, on average,	less than 1	kilograms
A(n)	Black myotis	weighs, on average,	less than 1	kilograms
A(n)	White-toothed pygmy shrew	weighs, on average,	less than 1	kilograms
